AccountName,Name,Subscribers,Views,Likes,Comments,Shares
minami.0819,🦄💙MINAMI💙🦄,1.8M,1.3M,160.9K,8.5K,1.7K
huddy,Huddy,32.2M,2.1M,264K,2.7K,1.3K
iimaya1,Maya Majed,1.7M,2.9M,158.6K,2K,2.6K
anas_fikry,Anas fikry,12.3M,2.7M,183.6K,2.3K,2K
keeganevansphoto,Keegan Evans,1.2M,2.5M,372.9K,1.2K,1K
sonyakisa8,Cat Sonya,17.9M,3.8M,180.7K,679,2.3K
mattiastanga,Mattia Stanga,2.8M,1.4M,223.1K,1.2K,5.4K
charlieputh,Charlie Puth,20.7M,2.2M,285.2K,2.2K,1.1K
abbieherbert,AbbieHerbert,14.2M,4.3M,459.1K,671,372
keirariff,Keira,5.4M,2.4M,521.4K,832,813
joshpeck,Josh Peck,7.8M,2.9M,369.7K,627,1.3K
nottclay,nottclay,2.2M,976.4K,182.9K,1.5K,10K
ayudewi070,AyuDewi,1.3M,4.4M,186K,1.3K,1.2K
